capability_id	parent_id	design_ref	user_outcome	actor	producer	consumer	current_data	default_workflow	executable_witness	failure_or_refusal	verdict	authority_route	evidence_limit
E-003.01	E-003	design/02 §2.2	Apply the production stack in declared order	player	production multiplier and hardcap kernels	production transition/replay	epoch-8 economy	current bounded foundation path for: Apply the production stack in declared order	cold production multiplier/order tests	named limitation prevents the larger claim	proven_bounded_primitive	all named multiplier producers and formula UI	Backend formula ordering only
E-003.02	E-003	design/02 §2.2	Show the contribution formula to the player	player	generated formula artifacts only	none mounted	epoch-8 economy	unavailable at 190a4fa: Show the contribution formula to the player	none	no production producer-to-consumer path	absent	all named multiplier producers and formula UI	No player formula view
E-003.03	E-003	design/02 §2.2	Clamp each configured production hardcap visibly	player	production multiplier and hardcap kernels	Game UI resource Amount; no formula view	epoch-8 economy	partial current path for: Clamp each configured production hardcap visibly	cold production tests and copy/client trace	named limitation prevents the larger claim	partial_integration	all named multiplier producers and formula UI	Two resource caps render through Amount; generator and broader caps do not
E-004.01	E-004	design/02 §2.3	Activate deterministic attended-time buff windows	player	active-play production transitions	no mounted opportunity/daemon surface	epoch-8 opportunities; no daemon content	backend/data path only; intended player path unavailable: Activate deterministic attended-time buff windows	cold production/replay tests	named limitation prevents the larger claim	backend_or_data_only	active-play plus missing daemons/UI trace	Active mechanics exist only behind unmounted clients; daemon lifecycle absent
E-004.02	E-004	design/02 §2.3	Apply the Lucky bank formula	player	active-play production transitions	no mounted opportunity/daemon surface	epoch-8 opportunities; no daemon content	backend/data path only; intended player path unavailable: Apply the Lucky bank formula	cold production/replay tests	named limitation prevents the larger claim	backend_or_data_only	active-play plus missing daemons/UI trace	Active mechanics exist only behind unmounted clients; daemon lifecycle absent
E-004.03	E-004	design/02 §2.3	Validate active clicks server-side	player	active-play production transitions	no mounted opportunity/daemon surface	epoch-8 opportunities; no daemon content	backend/data path only; intended player path unavailable: Validate active clicks server-side	cold production/replay tests	named limitation prevents the larger claim	backend_or_data_only	active-play plus missing daemons/UI trace	Active mechanics exist only behind unmounted clients; daemon lifecycle absent
E-004.04	E-004	design/02 §2.3	Use attach accrue and pop daemon mechanics	player	active-play production transitions	no mounted opportunity/daemon surface	epoch-8 opportunities; no daemon content	backend/data path only; intended player path unavailable: Use attach accrue and pop daemon mechanics	cold production/replay tests	named limitation prevents the larger claim	backend_or_data_only	active-play plus missing daemons/UI trace	Active mechanics exist only behind unmounted clients; daemon lifecycle absent
E-005.01	E-005	design/02 §2.4	Accrue offline production at 90 percent	player	lazy production offline accrual	snapshot amounts; no complete return summary	90 percent 24-hour economy policy	current bounded foundation path for: Accrue offline production at 90 percent	composed 48-hour offline catch-up regression	named limitation prevents the larger claim	proven_bounded_primitive	browser return presentation pending	Authoritative credit is proven; player return explanation is partial
E-005.02	E-005	design/02 §2.4	Clamp one offline span to 24 hours	player	lazy production offline accrual	snapshot amounts; no complete return summary	90 percent 24-hour economy policy	current bounded foundation path for: Clamp one offline span to 24 hours	composed 48-hour offline catch-up regression	named limitation prevents the larger claim	proven_bounded_primitive	browser return presentation pending	Authoritative credit is proven; player return explanation is partial
E-005.03	E-005	design/02 §2.4	Show the credited offline result on return	player	lazy production offline accrual	snapshot amount only; no offline return summary	90 percent 24-hour economy policy	partial current path for: Show the credited offline result on return	composed 48-hour offline catch-up regression	named limitation prevents the larger claim	partial_integration	browser return presentation pending	Crediting is proven, explanation on return is not
E-006.01	E-006	design/02 §2c	Apply mandatory economy sinks	player	economy and achievement catalog validators/transitions	no achievement player surface	epoch-8 economy and 13 achievements	backend/data path only; intended player path unavailable: Apply mandatory economy sinks	cold economy/achievement/replay tests	named limitation prevents the larger claim	backend_or_data_only	catalog/economy/achievement audit	Proof modes and sinks are backend/data; player presentation is absent
E-006.02	E-006	design/02 §2c	Mint currencies only through declared cap owners	player	economy and achievement catalog validators/transitions	no achievement player surface	epoch-8 economy and 13 achievements	backend/data path only; intended player path unavailable: Mint currencies only through declared cap owners	cold economy/achievement/replay tests	named limitation prevents the larger claim	backend_or_data_only	catalog/economy/achievement audit	Proof modes and sinks are backend/data; player presentation is absent
E-006.03	E-006	design/02 §2c	Evaluate achievement provenance proof	player	economy and achievement catalog validators/transitions	no achievement player surface	epoch-8 economy and 13 achievements	backend/data path only; intended player path unavailable: Evaluate achievement provenance proof	cold economy/achievement/replay tests	named limitation prevents the larger claim	backend_or_data_only	catalog/economy/achievement audit	Proof modes and sinks are backend/data; player presentation is absent
E-006.04	E-006	design/02 §2c	Evaluate achievement possession proof	player	economy and achievement catalog validators/transitions	no achievement player surface	epoch-8 economy and 13 achievements	backend/data path only; intended player path unavailable: Evaluate achievement possession proof	cold economy/achievement/replay tests	named limitation prevents the larger claim	backend_or_data_only	catalog/economy/achievement audit	Proof modes and sinks are backend/data; player presentation is absent
E-006.05	E-006	design/02 §2c	Evaluate achievement burn proof	player	economy and achievement catalog validators/transitions	no achievement player surface	epoch-8 economy and 13 achievements	backend/data path only; intended player path unavailable: Evaluate achievement burn proof	cold economy/achievement/replay tests	named limitation prevents the larger claim	backend_or_data_only	catalog/economy/achievement audit	Proof modes and sinks are backend/data; player presentation is absent
E-007.01	E-007	design/02 §3	Earn and spend Reputation	player	Prestige/route/achievement/founder state kernels	Offer/Run End expose some terms	epoch-8 prestige routes achievements	partial current path for: Earn and spend Reputation	cold production/route tests plus Game UI fixtures	named limitation prevents the larger claim	partial_integration	per-currency producer/consumer workflow	Reputation/Route terms are partial; Network/Clout/Wealth/Age lack complete player loops
E-007.02	E-007	design/02 §3	Carry designated Network slots	player	Prestige/route/achievement/founder state kernels	no complete mounted currency workflow	epoch-8 prestige routes achievements	backend/data path only; intended player path unavailable: Carry designated Network slots	cold production/route tests plus Game UI fixtures	named limitation prevents the larger claim	backend_or_data_only	per-currency producer/consumer workflow	State/producer primitives exist without a complete earn-spend-display player loop
E-007.03	E-007	design/02 §3	Earn and spend Route Knowledge	player	Prestige/route/achievement/founder state kernels	no complete mounted currency workflow	epoch-8 prestige routes achievements	backend/data path only; intended player path unavailable: Earn and spend Route Knowledge	cold production/route tests plus Game UI fixtures	named limitation prevents the larger claim	backend_or_data_only	per-currency producer/consumer workflow	State/producer primitives exist without a complete earn-spend-display player loop
E-007.04	E-007	design/02 §3	Earn and use Clout	player	Prestige/route/achievement/founder state kernels	no complete mounted currency workflow	epoch-8 prestige routes achievements	backend/data path only; intended player path unavailable: Earn and use Clout	cold production/route tests plus Game UI fixtures	named limitation prevents the larger claim	backend_or_data_only	per-currency producer/consumer workflow	State/producer primitives exist without a complete earn-spend-display player loop
E-007.05	E-007	design/02 §3	Extract and spend Personal Wealth	player	none	none	no Personal Wealth content	unavailable at 190a4fa: Extract and spend Personal Wealth	none	no production producer-to-consumer path	absent	per-currency producer/consumer workflow	Personal Wealth is unimplemented
E-007.06	E-007	design/02 §3	Advance Founder Age	player	Prestige/route/achievement/founder state kernels	no complete mounted currency workflow	epoch-8 prestige routes achievements	backend/data path only; intended player path unavailable: Advance Founder Age	cold production/route tests plus Game UI fixtures	named limitation prevents the larger claim	backend_or_data_only	per-currency producer/consumer workflow	State/producer primitives exist without a complete earn-spend-display player loop
E-008.01	E-008	design/02 §3.3	Receive full-terms acquihire or acquisition offers	player	Prestige offer and terminal transitions	Offer Sheet/Run End	epoch-8 prestige/curriculum	partial current path for: Receive full-terms acquihire or acquisition offers	cold server first-hour and Game UI fixtures	named limitation prevents the larger claim	partial_integration	T0-T1 scripted offer only; broader content absent	Wind Down IPO and Strip-Mining controls/content are absent
E-008.02	E-008	design/02 §3.3	Wind Down a run on demand	player	none for this exit mode/control	none	no Wind Down/IPO/Strip-Mining player content	unavailable at 190a4fa: Wind Down a run on demand	none	no production producer-to-consumer path	absent	T0-T1 scripted offer only; broader content absent	Only offer/scripted Exit mechanics exist
E-008.03	E-008	design/02 §3.3	Complete a doctrine-gated IPO Exit	player	none for this exit mode/control	none	no Wind Down/IPO/Strip-Mining player content	unavailable at 190a4fa: Complete a doctrine-gated IPO Exit	none	no production producer-to-consumer path	absent	T0-T1 scripted offer only; broader content absent	Only offer/scripted Exit mechanics exist
E-008.04	E-008	design/02 §3.3	Strip-mine a branch before Exit	player	none for this exit mode/control	none	no Wind Down/IPO/Strip-Mining player content	unavailable at 190a4fa: Strip-mine a branch before Exit	none	no production producer-to-consumer path	absent	T0-T1 scripted offer only; broader content absent	Only offer/scripted Exit mechanics exist
E-009.01	E-009	design/02 §4	Observe the shared Planet ratchet	player	world/guild/Commons primitives	no mounted World/Guild consumer	epoch-8 commons/guilds; no full world content	backend/data path only; intended player path unavailable: Observe the shared Planet ratchet	cold backend tests	named limitation prevents the larger claim	backend_or_data_only	world/player consumers absent	Planet/milestone/Influence player workflows are absent
E-009.02	E-009	design/02 §4	Contribute to a community milestone	player	world/guild/Commons primitives	no mounted World/Guild consumer	epoch-8 commons/guilds; no full world content	backend/data path only; intended player path unavailable: Contribute to a community milestone	cold backend tests	named limitation prevents the larger claim	backend_or_data_only	world/player consumers absent	Planet/milestone/Influence player workflows are absent
E-009.03	E-009	design/02 §4	Accrue and spend guild tithe value	player	world/guild/Commons primitives	no mounted World/Guild consumer	epoch-8 commons/guilds; no full world content	backend/data path only; intended player path unavailable: Accrue and spend guild tithe value	cold backend tests	named limitation prevents the larger claim	backend_or_data_only	world/player consumers absent	Planet/milestone/Influence player workflows are absent
E-009.04	E-009	design/02 §4	Earn and spend Influence	player	world/guild/Commons primitives	no mounted World/Guild consumer	epoch-8 commons/guilds; no full world content	backend/data path only; intended player path unavailable: Earn and spend Influence	cold backend tests	named limitation prevents the larger claim	backend_or_data_only	world/player consumers absent	Planet/milestone/Influence player workflows are absent
E-010.01	E-010	design/02 §5	Advance an Earnings Call on wall time only	player	Fiscal clock/harvest/spend kernel	none mounted	epoch-8 Fiscal	backend/data path only; intended player path unavailable: Advance an Earnings Call on wall time only	cold Go/TS parity and replay tests	named limitation prevents the larger claim	backend_or_data_only	player ritual/UI proof	No Earnings Call ritual surface; archived body/plan contradiction remains
E-010.02	E-010	design/02 §5	Harvest early with declared failure probability	player	Fiscal clock/harvest/spend kernel	none mounted	epoch-8 Fiscal	backend/data path only; intended player path unavailable: Harvest early with declared failure probability	cold Go/TS parity and replay tests	named limitation prevents the larger claim	backend_or_data_only	player ritual/UI proof	No Earnings Call ritual surface; archived body/plan contradiction remains
E-010.03	E-010	design/02 §5	Receive guaranteed or automatic harvest	player	Fiscal clock/harvest/spend kernel	none mounted	epoch-8 Fiscal	backend/data path only; intended player path unavailable: Receive guaranteed or automatic harvest	cold Go/TS parity and replay tests	named limitation prevents the larger claim	backend_or_data_only	player ritual/UI proof	No Earnings Call ritual surface; archived body/plan contradiction remains
E-010.04	E-010	design/02 §5	Spend Investor Confidence	player	Fiscal clock/harvest/spend kernel	none mounted	epoch-8 Fiscal	backend/data path only; intended player path unavailable: Spend Investor Confidence	cold Go/TS parity and replay tests	named limitation prevents the larger claim	backend_or_data_only	player ritual/UI proof	No Earnings Call ritual surface; archived body/plan contradiction remains
E-010.05	E-010	design/02 §5	Choose between hoarding and spending Confidence	player	Fiscal clock/harvest/spend kernel	none mounted	epoch-8 Fiscal	backend/data path only; intended player path unavailable: Choose between hoarding and spending Confidence	cold Go/TS parity and replay tests	named limitation prevents the larger claim	backend_or_data_only	player ritual/UI proof	No Earnings Call ritual surface; archived body/plan contradiction remains
E-011.01	E-011	design/02 §6	Mint Clout from the single declared social source	player	achievement Clout grants and Founder Clout state	terms note only; no social reach surface	13 achievements	backend/data path only; intended player path unavailable: Mint Clout from the single declared social source	cold achievement/production tests	named limitation prevents the larger claim	backend_or_data_only	mint ownership and player consumers	Single-mint/social-source and reach economy are not fully implemented
E-011.02	E-011	design/02 §6	Persist Clout without adding it directly to production	player	achievement Clout grants and Founder Clout state	terms note only; no social reach surface	13 achievements	backend/data path only; intended player path unavailable: Persist Clout without adding it directly to production	cold achievement/production tests	named limitation prevents the larger claim	backend_or_data_only	mint ownership and player consumers	Single-mint/social-source and reach economy are not fully implemented
E-011.03	E-011	design/02 §6	Spend lifetime Clout on reach	player	achievement Clout grants and Founder Clout state	terms note only; no social reach surface	13 achievements	backend/data path only; intended player path unavailable: Spend lifetime Clout on reach	cold achievement/production tests	named limitation prevents the larger claim	backend_or_data_only	mint ownership and player consumers	Single-mint/social-source and reach economy are not fully implemented
E-011.04	E-011	design/02 §6	Use run-local Clout through declared production effects	player	achievement Clout grants and Founder Clout state	terms note only; no social reach surface	13 achievements	backend/data path only; intended player path unavailable: Use run-local Clout through declared production effects	cold achievement/production tests	named limitation prevents the larger claim	backend_or_data_only	mint ownership and player consumers	Single-mint/social-source and reach economy are not fully implemented
E-012.01	E-012	design/02 §7	Observe ten independent Trust bars	player	meter/Soul/route fact kernels	none for moral meters/ledger	epoch-8 meters Soul routes	backend/data path only; intended player path unavailable: Observe ten independent Trust bars	cold catalog/replay tests	named limitation prevents the larger claim	backend_or_data_only	full moral content and decorrelation gate	Trust ten-bar model Externality ledger and correlation gate are absent
E-012.02	E-012	design/02 §7	Observe Soul separately from Trust	player	meter/Soul/route fact kernels	none for moral meters/ledger	epoch-8 meters Soul routes	backend/data path only; intended player path unavailable: Observe Soul separately from Trust	cold catalog/replay tests	named limitation prevents the larger claim	backend_or_data_only	full moral content and decorrelation gate	Trust ten-bar model Externality ledger and correlation gate are absent
E-012.03	E-012	design/02 §7	Record Externality as addressed ledger entries	player	meter/Soul/route fact kernels	none for moral meters/ledger	epoch-8 meters Soul routes	backend/data path only; intended player path unavailable: Record Externality as addressed ledger entries	cold catalog/replay tests	named limitation prevents the larger claim	backend_or_data_only	full moral content and decorrelation gate	Trust ten-bar model Externality ledger and correlation gate are absent
E-012.04	E-012	design/02 §7	Keep p-doom as a pressure meter	player	meter/Soul/route fact kernels	none for moral meters/ledger	epoch-8 meters Soul routes	backend/data path only; intended player path unavailable: Keep p-doom as a pressure meter	cold catalog/replay tests	named limitation prevents the larger claim	backend_or_data_only	full moral content and decorrelation gate	Trust ten-bar model Externality ledger and correlation gate are absent
E-012.05	E-012	design/02 §7	Gate routes on dated facts	player	meter/Soul/route fact kernels	none for moral meters/ledger	epoch-8 meters Soul routes	backend/data path only; intended player path unavailable: Gate routes on dated facts	cold catalog/replay tests	named limitation prevents the larger claim	backend_or_data_only	full moral content and decorrelation gate	Trust ten-bar model Externality ledger and correlation gate are absent
E-012.06	E-012	design/02 §7	Gate endings on dated facts	player	meter/Soul/route fact kernels	none for moral meters/ledger	epoch-8 meters Soul routes	backend/data path only; intended player path unavailable: Gate endings on dated facts	cold catalog/replay tests	named limitation prevents the larger claim	backend_or_data_only	full moral content and decorrelation gate	Trust ten-bar model Externality ledger and correlation gate are absent
E-012.07	E-012	design/02 §7	Detect Trust-Soul correlation drift	player	meter/Soul/route fact kernels	none for moral meters/ledger	epoch-8 meters Soul routes	backend/data path only; intended player path unavailable: Detect Trust-Soul correlation drift	cold catalog/replay tests	named limitation prevents the larger claim	backend_or_data_only	full moral content and decorrelation gate	Trust ten-bar model Externality ledger and correlation gate are absent
E-013.01	E-013	design/02 §8	Drain Soul from declared choices	player	Soul transition supports debit but current debit_sources is empty	none mounted	zero deploy-current debit rows	backend/data path only; intended player path unavailable: Drain Soul from declared choices	cold authenticated Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	player recovery surface and endgame	Primitive exists but no current drain producer/content
E-013.02	E-013	design/02 §8	Lock human content by Soul band	player	Soul catalog and recovery coordinator	none mounted	three recovery rows; zero debit sources	backend/data path only; intended player path unavailable: Lock human content by Soul band	cold authenticated Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	player recovery surface and endgame	Recovery backend exists; drain producers UI and endgame are absent
E-013.03	E-013	design/02 §8	Recover Soul through attended zero-output activity	player	Soul catalog and recovery coordinator	none mounted	three recovery rows; zero debit sources	backend/data path only; intended player path unavailable: Recover Soul through attended zero-output activity	cold authenticated Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	player recovery surface and endgame	Recovery backend exists; drain producers UI and endgame are absent
E-013.04	E-013	design/02 §8	Prevent passive idle Soul refill	player	Soul catalog and recovery coordinator	none mounted	three recovery rows; zero debit sources	backend/data path only; intended player path unavailable: Prevent passive idle Soul refill	cold authenticated Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	player recovery surface and endgame	Recovery backend exists; drain producers UI and endgame are absent
E-013.05	E-013	design/02 §8	Resolve the terminal ending from Soul	player	none	none	no terminal ending content	unavailable at 190a4fa: Resolve the terminal ending from Soul	none	no production producer-to-consumer path	absent	player recovery surface and endgame	Soul endgame is unimplemented
E-014.01	E-014	design/02 §9	Accrue capped Compute Credits from offline time	player	Compute Credit state/transitions	no HUD or auto-spend consumer	economy policy/state; no return-bonus content	backend/data path only; intended player path unavailable: Accrue capped Compute Credits from offline time	cold replay/parity tests	named limitation prevents the larger claim	backend_or_data_only	HUD/auto-spend/return workflow	Bank primitive does not provide the designed player workflow
E-014.02	E-014	design/02 §9	Spend Compute Credits on chosen acceleration	player	Compute Credit state/transitions	no HUD or auto-spend consumer	economy policy/state; no return-bonus content	backend/data path only; intended player path unavailable: Spend Compute Credits on chosen acceleration	cold replay/parity tests	named limitation prevents the larger claim	backend_or_data_only	HUD/auto-spend/return workflow	Bank primitive does not provide the designed player workflow
E-014.03	E-014	design/02 §9	See banked time in the primary HUD	player	Compute Credit state/transitions	no HUD or auto-spend consumer	economy policy/state; no return-bonus content	backend/data path only; intended player path unavailable: See banked time in the primary HUD	cold replay/parity tests	named limitation prevents the larger claim	backend_or_data_only	HUD/auto-spend/return workflow	Bank primitive does not provide the designed player workflow
E-014.04	E-014	design/02 §9	Opt into automatic Compute Credit spending	player	Compute Credit state/transitions	no HUD or auto-spend consumer	economy policy/state; no return-bonus content	backend/data path only; intended player path unavailable: Opt into automatic Compute Credit spending	cold replay/parity tests	named limitation prevents the larger claim	backend_or_data_only	HUD/auto-spend/return workflow	Bank primitive does not provide the designed player workflow
E-014.05	E-014	design/02 §9	Receive a visible return bonus after absence	player	Compute Credit state/transitions	no HUD or auto-spend consumer	economy policy/state; no return-bonus content	backend/data path only; intended player path unavailable: Receive a visible return bonus after absence	cold replay/parity tests	named limitation prevents the larger claim	backend_or_data_only	HUD/auto-spend/return workflow	Bank primitive does not provide the designed player workflow
E-015.01	E-015	design/02 §10	Complete a daily activity bar with a done state	player	none	none	none	unavailable at 190a4fa: Complete a daily activity bar with a done state	none	no production producer-to-consumer path	absent	future accepted RFCs	binding intent exists; current module/fixture/future design receives no implementation credit
E-015.02	E-015	design/02 §10	Accumulate lifetime streak days without reset	player	none	none	none	unavailable at 190a4fa: Accumulate lifetime streak days without reset	none	no production producer-to-consumer path	absent	future accepted RFCs	binding intent exists; current module/fixture/future design receives no implementation credit
E-015.03	E-015	design/02 §10	Use the published weekly theme calendar	player	none	none	none	unavailable at 190a4fa: Use the published weekly theme calendar	none	no production producer-to-consumer path	absent	future accepted RFCs	binding intent exists; current module/fixture/future design receives no implementation credit
E-015.04	E-015	design/02 §10	Compare with one bracketed weekly rival	player	none	none	none	unavailable at 190a4fa: Compare with one bracketed weekly rival	none	no production producer-to-consumer path	absent	future accepted RFCs	binding intent exists; current module/fixture/future design receives no implementation credit
E-015.05	E-015	design/02 §10	Spend event scrip at posted exchange-shop prices	player	none	none	none	unavailable at 190a4fa: Spend event scrip at posted exchange-shop prices	none	no production producer-to-consumer path	absent	future accepted RFCs	binding intent exists; current module/fixture/future design receives no implementation credit
E-015.06	E-015	design/02 §10	Auto-convert leftover event scrip	player	none	none	none	unavailable at 190a4fa: Auto-convert leftover event scrip	none	no production producer-to-consumer path	absent	future accepted RFCs	binding intent exists; current module/fixture/future design receives no implementation credit
E-015.07	E-015	design/02 §10	Keep daily systems from gating tier or Fiscal progress	player	none	none	none	unavailable at 190a4fa: Keep daily systems from gating tier or Fiscal progress	none	no production producer-to-consumer path	absent	future accepted RFCs	binding intent exists; current module/fixture/future design receives no implementation credit
E-016.01	E-016	design/02 §11	Reach the first generator within target	player	balance harness scenarios	developer measurement only	historical T0-T1 evidence	partial current path for: Reach the first generator within target	current hosted R-001 run is invalid	named limitation prevents the larger claim	blocked	R-001 plus later-tier scenarios	The current coordinate cannot inherit a pass from historical evidence; valid complete rerun is blocked
E-016.02	E-016	design/02 §11	Reach Tier 1 within target	player	balance harness scenarios	developer measurement only	historical T0-T1 evidence	partial current path for: Reach Tier 1 within target	current hosted R-001 run is invalid	named limitation prevents the larger claim	blocked	R-001 plus later-tier scenarios	The current coordinate cannot inherit a pass from historical evidence; valid complete rerun is blocked
E-016.03	E-016	design/02 §11	Reach the first minigame within target	player	missing complete current content/measurement	developer harness only	no complete milestone population	unavailable at 190a4fa: Reach the first minigame within target	none valid at current coordinate	no production producer-to-consumer path	absent	R-001 plus later-tier scenarios	Content and/or valid current measurement needed for this target is absent
E-016.04	E-016	design/02 §11	Reach the first elective Exit within target	player	missing complete current content/measurement	developer harness only	no complete milestone population	unavailable at 190a4fa: Reach the first elective Exit within target	none valid at current coordinate	no production producer-to-consumer path	absent	R-001 plus later-tier scenarios	Content and/or valid current measurement needed for this target is absent
E-016.05	E-016	design/02 §11	Reach Tier 3 within target	player	missing complete current content/measurement	developer harness only	no complete milestone population	unavailable at 190a4fa: Reach Tier 3 within target	none valid at current coordinate	no production producer-to-consumer path	absent	R-001 plus later-tier scenarios	Content and/or valid current measurement needed for this target is absent
E-016.06	E-016	design/02 §11	Establish the first Earnings Call within target	player	missing complete current content/measurement	developer harness only	no complete milestone population	unavailable at 190a4fa: Establish the first Earnings Call within target	none valid at current coordinate	no production producer-to-consumer path	absent	R-001 plus later-tier scenarios	Content and/or valid current measurement needed for this target is absent
E-016.07	E-016	design/02 §11	Reach Tier 4 within target	player	missing complete current content/measurement	developer harness only	no complete milestone population	unavailable at 190a4fa: Reach Tier 4 within target	none valid at current coordinate	no production producer-to-consumer path	absent	R-001 plus later-tier scenarios	Content and/or valid current measurement needed for this target is absent
E-016.08	E-016	design/02 §11	Reach Tier 5 within target	player	missing complete current content/measurement	developer harness only	no complete milestone population	unavailable at 190a4fa: Reach Tier 5 within target	none valid at current coordinate	no production producer-to-consumer path	absent	R-001 plus later-tier scenarios	Content and/or valid current measurement needed for this target is absent
E-016.09	E-016	design/02 §11	Reach Tier 6 within target	player	missing complete current content/measurement	developer harness only	no complete milestone population	unavailable at 190a4fa: Reach Tier 6 within target	none valid at current coordinate	no production producer-to-consumer path	absent	R-001 plus later-tier scenarios	Content and/or valid current measurement needed for this target is absent
E-016.10	E-016	design/02 §11	Reach the first ending within target	player	missing complete current content/measurement	developer harness only	no complete milestone population	unavailable at 190a4fa: Reach the first ending within target	none valid at current coordinate	no production producer-to-consumer path	absent	R-001 plus later-tier scenarios	Content and/or valid current measurement needed for this target is absent
E-017.01	E-017	design/02 §11b	Keep each purchasable relevant to at least one persona	player	relevance policy/harness	developer report only	T0-T1 relevance policies	partial current path for: Keep each purchasable relevant to at least one persona	local bounded checks; hosted complete run invalid	named limitation prevents the larger claim	partial_integration	R-001 current-head validity	No valid complete current-head persona population or published epoch table
E-017.02	E-017	design/02 §11b	Detect trap purchases in the reference persona	player	relevance policy/harness	developer report only	T0-T1 relevance policies	partial current path for: Detect trap purchases in the reference persona	local bounded checks; hosted complete run invalid	named limitation prevents the larger claim	partial_integration	R-001 current-head validity	No valid complete current-head persona population or published epoch table
E-017.03	E-017	design/02 §11b	Publish per-tier contribution shares by epoch	player	developer relevance report only	none published to players/community	no valid complete current-head epoch table	unavailable at 190a4fa: Publish per-tier contribution shares by epoch	current hosted complete run invalid	no production producer-to-consumer path	absent	R-001 current-head validity	No published per-tier contribution-share table for a valid current epoch
E-018.01	E-018	design/02 §12	Preserve Go and TypeScript big-number parity	player	Go Decimal and break_infinity client	wire/save/cross-runtime consumers	shared golden vectors	current bounded foundation path for: Preserve Go and TypeScript big-number parity	cold Go/client golden suites and NaN refusal tests	named limitation prevents the larger claim	proven_bounded_primitive	preserve golden vectors	Exact numeric contract only; not general gameplay proof
E-018.02	E-018	design/02 §12	Use canonical decimal strings on the wire	player	Go Decimal and break_infinity client	wire/save/cross-runtime consumers	shared golden vectors	current bounded foundation path for: Use canonical decimal strings on the wire	cold Go/client golden suites and NaN refusal tests	named limitation prevents the larger claim	proven_bounded_primitive	preserve golden vectors	Exact numeric contract only; not general gameplay proof
E-018.03	E-018	design/02 §12	Refuse to persist NaN state	player	Go Decimal and break_infinity client	wire/save/cross-runtime consumers	shared golden vectors	current bounded foundation path for: Refuse to persist NaN state	cold Go/client golden suites and NaN refusal tests	named limitation prevents the larger claim	proven_bounded_primitive	preserve golden vectors	Exact numeric contract only; not general gameplay proof
M-001.01	M-001	design/03 contract	Declare the clock for every minigame	player	minigame API/session/policy framework	no mounted minigame surface	Pitch tenant only	backend/data path only; intended player path unavailable: Declare the clock for every minigame	cold Postgres Pitch/Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	per-minigame implementation matrix	Framework fields are not satisfied for every designed minigame
M-001.02	M-001	design/03 contract	Declare the economy hook for every minigame	player	minigame API/session/policy framework	no mounted minigame surface	Pitch tenant only	backend/data path only; intended player path unavailable: Declare the economy hook for every minigame	cold Postgres Pitch/Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	per-minigame implementation matrix	Framework fields are not satisfied for every designed minigame
M-001.03	M-001	design/03 contract	Provide an honest fallback for every multiplayer minigame	player	minigame API/session/policy framework	no mounted minigame surface	Pitch tenant only	backend/data path only; intended player path unavailable: Provide an honest fallback for every multiplayer minigame	cold Postgres Pitch/Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	per-minigame implementation matrix	Framework fields are not satisfied for every designed minigame
M-001.04	M-001	design/03 contract	Stagger minigame unlocks	player	minigame API/session/policy framework	no mounted minigame surface	Pitch tenant only	backend/data path only; intended player path unavailable: Stagger minigame unlocks	cold Postgres Pitch/Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	per-minigame implementation matrix	Framework fields are not satisfied for every designed minigame
M-001.05	M-001	design/03 contract	Persist minigame state and results	player	minigame API/session/policy framework	no mounted minigame surface	Pitch tenant only	backend/data path only; intended player path unavailable: Persist minigame state and results	cold Postgres Pitch/Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	per-minigame implementation matrix	Framework fields are not satisfied for every designed minigame
M-001.06	M-001	design/03 contract	Freeze scaling inputs at session creation	player	minigame API/session/policy framework	no mounted minigame surface	Pitch tenant only	backend/data path only; intended player path unavailable: Freeze scaling inputs at session creation	cold Postgres Pitch/Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	per-minigame implementation matrix	Framework fields are not satisfied for every designed minigame
M-001.07	M-001	design/03 contract	Apply offline-quality policy	player	minigame API/session/policy framework	no mounted minigame surface	Pitch tenant only	backend/data path only; intended player path unavailable: Apply offline-quality policy	cold Postgres Pitch/Recovery lifecycle	named limitation prevents the larger claim	backend_or_data_only	per-minigame implementation matrix	Framework fields are not satisfied for every designed minigame
M-002.01	M-002	design/03 §1	Server Garden	player	none	none	none	unavailable at 190a4fa: Server Garden	none	no production producer-to-consumer path	absent	future RFC	binding intent exists; current module/fixture/future design receives no implementation credit
M-003.01	M-003	design/03 §2	Advisory Board	player	none	none	none	unavailable at 190a4fa: Advisory Board	none	no production producer-to-consumer path	absent	future RFC	binding intent exists; current module/fixture/future design receives no implementation credit
M-004.01	M-004	design/03 §3	Ship-It Spellbook	player	none	none	none	unavailable at 190a4fa: Ship-It Spellbook	none	no production producer-to-consumer path	absent	future RFC	binding intent exists; current module/fixture/future design receives no implementation credit
