capability_id	parent_id	design_ref	user_outcome	parent_preliminary_state	parent_route
A-004.01	A-004	design/06 minigame AI	Match a player to a minigame opponent	absent	future research/RFCs
A-004.02	A-004	design/06 minigame AI	Run an honest AI opponent through human validation	absent	future research/RFCs
A-004.03	A-004	design/06 minigame AI	Isolate per-game engine rules	absent	future research/RFCs
A-005.01	A-005	design/06 anonymous play	Start with a server-anonymous identity by default	body_drift_and_missing_fallback	RP-007 author reconciliation/account successor
A-005.02	A-005	design/06 anonymous play	Continue in a labeled local-only outage mode	body_drift_and_missing_fallback	RP-007 author reconciliation/account successor
A-005.03	A-005	design/06 anonymous play	Import local outage progress into the server account	body_drift_and_missing_fallback	RP-007 author reconciliation/account successor
RD-000.01	RD-000	design/07 Phase 0	Ship the numeric foundation	partially_proven_public_repo	full browser first-hour and R-001
RD-000.02	RD-000	design/07 Phase 0	Ship the economy and production foundation	partially_proven_public_repo	full browser first-hour and R-001
RD-000.03	RD-000	design/07 Phase 0	Ship versioned save persistence	partially_proven_public_repo	full browser first-hour and R-001
RD-000.04	RD-000	design/07 Phase 0	Ship the balance harness foundation	partially_proven_public_repo	full browser first-hour and R-001
RD-000.05	RD-000	design/07 Phase 0	Ship the client shell foundation	partially_proven_public_repo	full browser first-hour and R-001
RD-000.06	RD-000	design/07 Phase 0	Complete a private Tier-0-to-Tier-1 vertical slice	partially_proven_public_repo	full browser first-hour and R-001
RD-001.01	RD-001	design/07 Phase 1	Ship public Tier-0-to-Tier-2 play	absent_beyond_t1	D-001/D-007
RD-001.02	RD-001	design/07 Phase 1	Ship early player minigames	absent_beyond_t1	D-001/D-007
RD-001.03	RD-001	design/07 Phase 1	Ship the player pet loop	absent_beyond_t1	D-001/D-007
RD-001.04	RD-001	design/07 Phase 1	Ship player presence	absent_beyond_t1	D-001/D-007
RD-002.01	RD-002	design/07 Phase 2	Ship Tier-3 player progression	absent_beyond_foundations	dependency DAG
RD-002.02	RD-002	design/07 Phase 2	Ship player faction workflows	absent_beyond_foundations	dependency DAG
RD-002.03	RD-002	design/07 Phase 2	Ship player guild workflows	absent_beyond_foundations	dependency DAG
RD-002.04	RD-002	design/07 Phase 2	Ship global milestones	absent_beyond_foundations	dependency DAG
RD-002.05	RD-002	design/07 Phase 2	Ship personal events	absent_beyond_foundations	dependency DAG
RD-002.06	RD-002	design/07 Phase 2	Ship pressure-meter events	absent_beyond_foundations	dependency DAG
RD-003.01	RD-003	design/07 Phase 3	Ship Tier-4 player progression	absent_beyond_foundations	dependency DAG
RD-003.02	RD-003	design/07 Phase 3	Ship the shared world workflow	absent_beyond_foundations	dependency DAG
RD-003.03	RD-003	design/07 Phase 3	Ship the Lane minigame	absent_beyond_foundations	dependency DAG
RD-003.04	RD-003	design/07 Phase 3	Ship player leaderboard workflows	absent_beyond_foundations	dependency DAG
RD-003.05	RD-003	design/07 Phase 3	Ship server-wide Situation events	absent_beyond_foundations	dependency DAG
RD-004.01	RD-004	design/07 Phase 4	Ship Tier-5 player progression	absent_beyond_foundations	dependency DAG
RD-004.02	RD-004	design/07 Phase 4	Ship the Commons player workflow	absent_beyond_foundations	dependency DAG
RD-004.03	RD-004	design/07 Phase 4	Ship combat gameplay	absent_beyond_foundations	dependency DAG
RD-004.04	RD-004	design/07 Phase 4	Ship challenge runs	absent_beyond_foundations	dependency DAG
RD-004.05	RD-004	design/07 Phase 4	Ship the Founder arc	absent_beyond_foundations	dependency DAG
RD-005.01	RD-005	design/07 Phase 5	Ship Tier-6 player progression	absent	D-001/D-007 and dependency DAG
RD-005.02	RD-005	design/07 Phase 5	Ship Tier-7 player progression	absent	D-001/D-007 and dependency DAG
RD-005.03	RD-005	design/07 Phase 5	Ship Tier-8 player progression	absent	D-001/D-007 and dependency DAG
RD-005.04	RD-005	design/07 Phase 5	Ship every designed terminal ending	absent	D-001/D-007 and dependency DAG
F-001.01	F-001	design/08 §1	Render player text in the declared voice	mechanical_pipeline	full shipped-copy citation/editorial audit
F-001.02	F-001	design/08 §1	Ship factual claims only with verified sourcing	mechanical_pipeline	full shipped-copy citation/editorial audit
F-001.03	F-001	design/08 §1	Keep player text within declared target bounds	mechanical_pipeline	full shipped-copy citation/editorial audit
F-002.01	F-002	design/08 §2	Render an era-appropriate presentation for each tier	T0_fragment	later era UI/content
F-002.02	F-002	design/08 §2	Degrade presentation in step with enshittification	T0_fragment	later era UI/content
F-003.01	F-003	design/08 §3	Ship the launch-scale generator copy bank	absent_at_scale	ignored research and copy production program
F-003.02	F-003	design/08 §3	Ship the launch-scale event copy bank	absent_at_scale	ignored research and copy production program
F-003.03	F-003	design/08 §3	Ship the launch-scale achievement copy bank	absent_at_scale	ignored research and copy production program
F-003.04	F-003	design/08 §3	Ship the launch-scale lore copy bank	absent_at_scale	ignored research and copy production program
F-004.01	F-004	design/08 §4	Encounter the designed conspiracy narrative arc	absent	Events/content RFCs
F-004.02	F-004	design/08 §4	See conspiracy pressure respond to current world state	absent	Events/content RFCs
F-005.01	F-005	design/08 §5	Trigger media canonization events from Clout	absent	Events/content RFCs
F-005.02	F-005	design/08 §5	Choose a response to media canonization	absent	Events/content RFCs
F-006.01	F-006	design/08 §6	See the speedrun timer and per-tier splits	mechanical_fragment	Game UI/Leaderboards/API/content consumers
F-006.02	F-006	design/08 §6	Choose a governed speedrun category	mechanical_fragment	Game UI/Leaderboards/API/content consumers
F-006.03	F-006	design/08 §6	Discover and name a route	mechanical_fragment	Game UI/Leaderboards/API/content consumers
F-006.04	F-006	design/08 §6	Review a completed run retrospectively	mechanical_fragment	Game UI/Leaderboards/API/content consumers
F-007.01	F-007	design/08 §7	Open the shipped honesty appendix	absent	release-floor/content RFC
F-007.02	F-007	design/08 §7	Inspect every parodied dark pattern and its real-world mechanism	absent	release-floor/content RFC
EV-001.01	EV-001	design/09 §1	Load declarative event definitions	absent	Events L1 acceptance/body review
EV-001.02	EV-001	design/09 §1	Dispatch eligible events on an action	absent	Events L1 acceptance/body review
EV-001.03	EV-001	design/09 §1	Apply only closed event effects	absent	Events L1 acceptance/body review
EV-001.04	EV-001	design/09 §1	Persist event choices and outcomes	absent	Events L1 acceptance/body review
EV-002.01	EV-002	design/09 §2	Receive a personal event	absent	Events/content RFCs
EV-002.02	EV-002	design/09 §2	Progress a founder story cycle	absent	Events/content RFCs
EV-002.03	EV-002	design/09 §2	See personal-event consequences in later choices	absent	Events/content RFCs
EV-003.01	EV-003	design/09 §3	Observe a visible pressure meter	meter_kernel_fragment	Events/content/UI
EV-003.02	EV-003	design/09 §3	Forecast pressure-meter movement	meter_kernel_fragment	Events/content/UI
EV-003.03	EV-003	design/09 §3	Trigger content at a meter band transition	meter_kernel_fragment	Events/content/UI
EV-004.01	EV-004	design/09 §4	Participate in a phased Situation	absent	World/Events RFCs
EV-004.02	EV-004	design/09 §4	Participate in a Major Order	absent	World/Events RFCs
EV-004.03	EV-004	design/09 §4	Receive a personal objective floor during world events	absent	World/Events RFCs
EV-005.01	EV-005	design/09 §5	Earn event scrip	absent	Events/economy RFC
EV-005.02	EV-005	design/09 §5	Spend scrip at posted prices	absent	Events/economy RFC
EV-005.03	EV-005	design/09 §5	Receive deterministic event-end conversion	absent	Events/economy RFC
EV-006.01	EV-006	design/09 §6	Play a seasonal story arc	absent	ops/content program
EV-006.02	EV-006	design/09 §6	Access an evergreen version after the season	absent	ops/content program
EV-007.01	EV-007	design/09 §7	Operate events through a GM dashboard	absent	ops/Events RFC
EV-007.02	EV-007	design/09 §7	Read a public war log	absent	ops/Events RFC
EV-007.03	EV-007	design/09 §7	Detect stuck or invalid events through watchdogs	absent	ops/Events RFC
PS-001.01	PS-001	design/10 §1	Choose one of four rule-distinct factions	backend_fragment	player selection and later faction verbs
PS-001.02	PS-001	design/10 §1	Produce a resource another faction consumes	backend_fragment	player selection and later faction verbs
PS-001.03	PS-001	design/10 §1	Use a faction-specific gameplay verb	backend_fragment	player selection and later faction verbs
PS-002.01	PS-002	design/10 §2	Play an active build	mechanical_fragments	full loops and board consumers
PS-002.02	PS-002	design/10 §2	Play an idle build	mechanical_fragments	full loops and board consumers
PS-002.03	PS-002	design/10 §2	Play a check-in build	mechanical_fragments	full loops and board consumers
PS-002.04	PS-002	design/10 §2	Play a banker build	mechanical_fragments	full loops and board consumers
PS-002.05	PS-002	design/10 §2	Compete on a build-specific board	mechanical_fragments	full loops and board consumers
PS-003.01	PS-003	design/10 §3	Toggle a reversible ideology	absent	future RFC
PS-003.02	PS-003	design/10 §3	Use each ideology as a viable rule set	absent	future RFC
PS-004.01	PS-004	design/10 §3b	Choose one of three doctrines at a tier transition	catalog_kernel_fragment	later transitions/content/harness
PS-004.02	PS-004	design/10 §3b	Keep doctrine choice irreversible within the run	catalog_kernel_fragment	later transitions/content/harness
PS-004.03	PS-004	design/10 §3b	Reach viable content and endings through each doctrine	catalog_kernel_fragment	later transitions/content/harness
PS-005.01	PS-005	design/10 §4	Start a rule-modified challenge run	absent	future RFC
PS-005.02	PS-005	design/10 §4	Complete and verify a challenge run	absent	future RFC
PS-006.01	PS-006	design/10 §5	Complete the Canon moral route	mechanical_fragments	full content/endings
PS-006.02	PS-006	design/10 §5	Complete Ethical percent	mechanical_fragments	full content/endings
PS-006.03	PS-006	design/10 §5	Carry moral history across runs	mechanical_fragments	full content/endings
PS-007.01	PS-007	design/10 §6	Author an AGI policy script	absent	future RFC
PS-007.02	PS-007	design/10 §6	Share an AGI policy script	absent	future RFC
PS-007.03	PS-007	design/10 §6	Execute a policy script authoritatively	absent	future RFC
UX-001.01	UX-001	design/11 §1	Read an honest cold-open contract	partial	RP-018 plus full browser workflow
UX-001.02	UX-001	design/11 §1	Begin the first attempt from the contract screen	partial	RP-018 plus full browser workflow
UX-001.03	UX-001	design/11 §1	Return to a bounded post-absence summary	partial	RP-018 plus full browser workflow
UX-002.01	UX-002	design/11 §1b	Receive a server-anonymous account by default	partial	RP-007 plus full first-session proof
UX-002.02	UX-002	design/11 §1b	Continue locally during a server outage	partial	RP-007 plus full first-session proof
UX-002.03	UX-002	design/11 §1b	Use the Vision Slide first-session surface	partial	RP-007 plus full first-session proof
UX-002.04	UX-002	design/11 §1b	Observe the run-one presence budget	partial	RP-007 plus full first-session proof
UX-003.01	UX-003	design/11 §2	Learn mechanics through diegetic prompts	partial_static	D-001/D-007 then R-008 first-session study
UX-003.02	UX-003	design/11 §2	Discover the core loop within ten minutes	partial_static	D-001/D-007 then R-008 first-session study
UX-003.03	UX-003	design/11 §2	Dismiss guidance without losing access to it	partial_static	D-001/D-007 then R-008 first-session study
UX-004.01	UX-004	design/11 §3	See the run-ending cause	server_content_plus_partial_UI	full browser AC1
UX-004.02	UX-004	design/11 §3	See attended-time and Exit context	server_content_plus_partial_UI	full browser AC1
UX-004.03	UX-004	design/11 §3	See Founder progression deltas	server_content_plus_partial_UI	full browser AC1
UX-004.04	UX-004	design/11 §3	See the chosen route or new-route consequence	server_content_plus_partial_UI	full browser AC1
UX-004.05	UX-004	design/11 §3	Continue into the next run	server_content_plus_partial_UI	full browser AC1
UX-004.06	UX-004	design/11 §3	Experience the scripted first-failure branch	server_content_plus_partial_UI	full browser AC1
UX-005.01	UX-005	design/11 §3	Enable Advisor Mode	absent	owner release floor/future RFC
UX-005.02	UX-005	design/11 §3	Receive Advisor guidance without hidden rule changes	absent	owner release floor/future RFC
UX-006.01	UX-006	design/11 §4	Progress through a multi-run first-ending arc	absent_beyond_first_exit	D-007/content DAG
UX-006.02	UX-006	design/11 §4	See run-count pacing communicate long-term commitment	absent_beyond_first_exit	D-007/content DAG
UX-007.01	UX-007	design/11 §5	Ship the declared launch copy surface count	absent_at_scale	copy production/research program
UX-007.02	UX-007	design/11 §5	Cover every mounted launch surface with governed copy	absent_at_scale	copy production/research program
UX-008.01	UX-008	design/11 §6	Resolve player copy from data keys	mechanical_pipeline	full real-content/editorial coverage
UX-008.02	UX-008	design/11 §6	Reject invalid copy parameters	mechanical_pipeline	full real-content/editorial coverage
UX-008.03	UX-008	design/11 §6	Lint prohibited or unsupported claims	mechanical_pipeline	full real-content/editorial coverage
UX-008.04	UX-008	design/11 §6	Attach citations to verified claims	mechanical_pipeline	full real-content/editorial coverage
UX-008.05	UX-008	design/11 §6	Preserve a localization-ready copy shape	mechanical_pipeline	full real-content/editorial coverage
UX-009.01	UX-009	design/11 §7	Reach core actions within navigation depth two	partial	task-level accessibility/reflow/mobile audit
UX-009.02	UX-009	design/11 §7	Reflow core UI at mobile width	partial	task-level accessibility/reflow/mobile audit
UX-009.03	UX-009	design/11 §7	Reflow core UI at supported zoom	partial	task-level accessibility/reflow/mobile audit
UX-009.04	UX-009	design/11 §7	Complete core play by keyboard	partial	task-level accessibility/reflow/mobile audit
UX-009.05	UX-009	design/11 §7	Complete core play with assistive technology	partial	task-level accessibility/reflow/mobile audit
CP-001.01	CP-001	design/12 §1	Load a versioned additive content pack	absent_as_described	design/RFC reconciliation and future contract
CP-001.02	CP-001	design/12 §1	Stage a content pack before activation	absent_as_described	design/RFC reconciliation and future contract
CP-001.03	CP-001	design/12 §1	Activate a pack without mutating historical epochs	absent_as_described	design/RFC reconciliation and future contract
CP-002.01	CP-002	design/12 §2	Extend economy content through data	partial_catalog_families	pack/extension ownership audit
CP-002.02	CP-002	design/12 §2	Extend routes through data	partial_catalog_families	pack/extension ownership audit
CP-002.03	CP-002	design/12 §2	Extend achievements through data	partial_catalog_families	pack/extension ownership audit
CP-002.04	CP-002	design/12 §2	Extend factions through data	partial_catalog_families	pack/extension ownership audit
CP-002.05	CP-002	design/12 §2	Extend guilds through data	partial_catalog_families	pack/extension ownership audit
CP-002.06	CP-002	design/12 §2	Extend minigames through their socket	partial_catalog_families	pack/extension ownership audit
CP-002.07	CP-002	design/12 §2	Extend events through the closed effect vocabulary	partial_catalog_families	pack/extension ownership audit
CP-002.08	CP-002	design/12 §2	Extend presentation copy through governed catalogs	partial_catalog_families	pack/extension ownership audit
CP-003.01	CP-003	design/12 §3	Create every minigame through one API socket	body_drift	RP-019/Minigame Platform reconciliation
CP-003.02	CP-003	design/12 §3	Persist every minigame through the shared session contract	body_drift	RP-019/Minigame Platform reconciliation
CP-004.01	CP-004	design/12 §4	Select event effects from a closed vocabulary	absent	Events RFC
CP-004.02	CP-004	design/12 §4	Reject an event with an undeclared effect verb	absent	Events RFC
CP-005.01	CP-005	design/12 §5	Research a current event before authoring	body_contradiction_absent_runtime	RP-020 plus deployment/content RFCs
CP-005.02	CP-005	design/12 §5	Activate current-event content in a new epoch	body_contradiction_absent_runtime	RP-020 plus deployment/content RFCs
CP-005.03	CP-005	design/12 §5	Retain prior-epoch replay behavior	body_contradiction_absent_runtime	RP-020 plus deployment/content RFCs
CP-006.01	CP-006	design/12 §7	Load saves against their pinned pack set	absent_as_pack_system	future accepted RFC
CP-006.02	CP-006	design/12 §7	Migrate compatible pack-set saves	absent_as_pack_system	future accepted RFC
CP-006.03	CP-006	design/12 §7	Retire a pack without corrupting historical saves	absent_as_pack_system	future accepted RFC
W-001.01	W-001	design/13 §2	Render a state-derived personal diorama	absent	world/rendering RFC
W-001.02	W-001	design/13 §2	Fast-forward the diorama on return	absent	world/rendering RFC
W-001.03	W-001	design/13 §2	Keep the diorama non-authoritative	absent	world/rendering RFC
W-002.01	W-002	design/13 §3	Place adoption or regulation pressure on regions	absent	v1.0 future RFC
W-002.02	W-002	design/13 §3	Watch the spatial campaign respond to player actions	absent	v1.0 future RFC
W-003.01	W-003	design/13 §4	Observe shared world state	world_snapshot_fragment	World RFC plus map/content/UI
W-003.02	W-003	design/13 §4	Observe a regional Planet ratchet	world_snapshot_fragment	World RFC plus map/content/UI
W-003.03	W-003	design/13 §4	Inspect a public immutable world artifact	world_snapshot_fragment	World RFC plus map/content/UI
W-004.01	W-004	design/13 §5	Draft one of offered regions	absent	World/content RFC
W-004.02	W-004	design/13 §5	Place infrastructure under the Thermal Law	absent	World/content RFC
W-004.03	W-004	design/13 §5	Reveal world geography through placement	absent	World/content RFC
W-005.01	W-005	design/13 §6	Interact with the Pixi or WebGPU world view	absent	rendering research/RFC
W-005.02	W-005	design/13 §6	Open a baked accessible world overview	absent	rendering research/RFC
W-005.03	W-005	design/13 §6	Use world rendering at supported scale	absent	rendering research/RFC
